unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag
4store,4store,4store,4store,Normal,Y_auto
abhot,abhot,abhot,,X_Never,Y_auto
accumulo,accumulo,Accumulo,Accumulo,Normal,Y_auto
acedb,acedb,AceDB,,X_Never,Y_auto
actordb,actordb,ActorDB,ActorDB,Normal,Y_auto
aerospike,aerospike,Aerospike,Aerospike,Normal,Y_auto
agatedb,agatedb,AgateDB,,X_Never,Y_auto
agensgraph,agensgraph,AgensGraph,AgensGraph,Normal,Y_auto
akdb,akdb,AKDB,,X_Never,Y_auto
akumuli,akumuli,Akumuli,,X_Never,Y_auto
akutan,akutan,Akutan,,X_Never,Y_auto
alasql,alasql,AlaSQL,AlaSQL,Normal,Y_auto
alchemydb,alchemydb,AlchemyDB,,X_Never,Y_auto
altibase,altibase,Altibase,Altibase,Normal,Y_auto
angstromdb,angstromdb,AngstromDB,,X_Never,Y_auto
antdb,antdb,AntDB,,X_Never,Y_auto
antidote,antidote,Antidote,,X_Never,Y_auto
aodbm,aodbm,AODBM,,X_Never,Y_auto
arakoon,arakoon,Arakoon,,X_Never,Y_auto
arangodb,arangodb,ArangoDB,ArangoDB,Normal,Y_auto
arcadedb,arcadedb,ArcadeDB,ArcadeDB,Normal,Y_auto
ardb,ardb,Ardb,,X_Never,Y_auto
aresdb,aresdb,AresDB,,X_Never,Y_auto
asami,asami,Asami,,X_Never,Y_auto
assassin,assassin,Assassin,,X_Never,Y_auto
asterixdb,asterixdb,AsterixDB,,X_Never,Y_auto
atlas,atlas,Atlas,,X_Never,Y_auto
aviondb,aviondb,AvionDB,,X_Never,Y_auto
bagri,bagri,Bagri,,X_Never,Y_auto
baikaldb,baikaldb,BaikalDB,,X_Never,Y_auto
bangdb,bangdb,BangDB,Bangdb,Normal,Y_auto
basex,basex,BaseX,BaseX,Normal,Y_auto
bayesdb,bayesdb,BayesDB,,X_Never,Y_auto
bbolt,bbolt,bbolt,,X_Never,Y_auto
bboxdb,bboxdb,BBoxDB,,X_Never,Y_auto
beagle-sql,beagle-sql,Beagle SQL,,X_Never,Y_auto
bedrock,bedrock,Bedrock,,X_Never,Y_auto
beringei,beringei,Beringei,,X_Never,Y_auto
berkeley-db,berkeley-db,Berkeley DB,Oracle Berkeley DB,Fuzzy,
beryldb,beryldb,BerylDB,,X_Never,Y_auto
bigchaindb,bigchaindb,BigchainDB,BigchainDB,Normal,Y_auto
binaryrage,binaryrage,BinaryRage,,X_Never,Y_auto
bitcask,bitcask,Bitcask,,X_Never,Y_auto
bitsy,bitsy,Bitsy,,X_Never,Y_auto
blazegraph,blazegraph,Blazegraph,Blazegraph,Normal,Y_auto
blazingsql,blazingsql,BlazingSQL,,X_Never,Y_auto
blinkdb,blinkdb,BlinkDB,,X_Never,Y_auto
blueflood,blueflood,Blueflood,Blueflood,Normal,Y_auto
bojack,bojack,BoJack,,X_Never,Y_auto
boltdb,boltdb,BoltDB,BoltDB,Normal,Y_auto
bonsaidb,bonsaidb,BonsaiDb,,X_Never,Y_auto
brightstardb,brightstardb,BrightstarDB,BrightstarDB,Normal,Y_auto
btdb,btdb,BTDB,,X_Never,Y_auto
btrdb,btrdb,BTrDB,,X_Never,Y_auto
bugfruit,bugfruit,bugfruit,,X_Never,Y_auto
buntdb,buntdb,BuntDB,,X_Never,Y_auto
bustub,bustub,BusTub,,X_Never,Y_auto
calvin,calvin,Calvin,,X_Never,Y_auto
caskdb,caskdb,CaskDB,,X_Never,Y_auto
cassandra,cassandra,Cassandra,Cassandra,Normal,Y_auto
castledb,castledb,CastleDB,,X_Never,Y_auto
cayley,cayley,Cayley,,X_Never,Y_auto
ceresdb,ceresdb,CeresDB,,X_Never,Y_auto
chaozzdb,chaozzdb,chaozzDB,,X_Never,Y_auto
chronicle-map,chronicle-map,Chronicle Map,,X_Never,Y_auto
