DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag
3store,3store,,X_Single,Y_auto
4store,4store,4store,Normal,Y_auto
abhot,abhot,,X_Single,Y_auto
accumulo,accumulo,accumulo,Normal,Y_auto
acedb,acedb,,X_Single,Y_auto
actordb,actordb,actordb,Normal,Y_auto
aerospike,aerospike,aerospike,Normal,Y_auto
agatedb,agatedb,,X_Single,Y_auto
agensgraph,agensgraph,agensgraph,Normal,Y_auto
akdb,akdb,,X_Single,Y_auto
akumuli,akumuli,,X_Single,Y_auto
akutan,akutan,,X_Single,Y_auto
alasql,alasql,alasql,Normal,Y_auto
alchemydb,alchemydb,,X_Single,Y_auto
alenka,alenka,,X_Single,Y_auto
altibase,altibase,altibase,Normal,Y_auto
angstromdb,angstromdb,,X_Single,Y_auto
annadb,annadb,,X_Single,Y_auto
antdb,antdb,antdb,Normal,Y_auto
antidote,antidote,,X_Single,Y_auto
aodbm,aodbm,,X_Single,Y_auto
arakoon,arakoon,,X_Single,Y_auto
arangodb,arangodb,arangodb,Normal,Y_auto
arcadedb,arcadedb,arcadedb,Normal,Y_auto
ardb,ardb,,X_Single,Y_auto
aresdb,aresdb,,X_Single,Y_auto
asami,asami,,X_Single,Y_auto
assassin,assassin,,X_Single,Y_auto
asterixdb,asterixdb,,X_Single,Y_auto
atlas,atlas,,X_Single,Y_auto
aviondb,aviondb,,X_Single,Y_auto
axion,axion,,X_Single,Y_auto
badgerdb,badgerdb,,X_Single,Y_auto
bagri,bagri,,X_Single,Y_auto
baikaldb,baikaldb,,X_Single,Y_auto
bangdb,bangdb,bangdb,Normal,Y_auto
basex,basex,basex,Normal,Y_auto
bayesdb,bayesdb,,X_Single,Y_auto
bbolt,bbolt,,X_Single,Y_auto
bboxdb,bboxdb,,X_Single,Y_auto
beagle-sql,beagle-sql,,X_Single,Y_auto
bedrock,bedrock,,X_Single,Y_auto
bergdb,bergdb,bergdb,Normal,Y_auto
beringei,beringei,,X_Single,Y_auto
berkeley-db,berkeley-db,oracle-berkeley-db,Fuzzy,
beryldb,beryldb,,X_Single,Y_auto
bigchaindb,bigchaindb,bigchaindb,Normal,Y_auto
binaryrage,binaryrage,,X_Single,Y_auto
bitcask,bitcask,,X_Single,Y_auto
bitsy,bitsy,,X_Single,Y_auto
blackray,blackray,,X_Single,Y_auto
blazegraph,blazegraph,blazegraph,Normal,Y_auto
blazingsql,blazingsql,,X_Single,Y_auto
blinkdb,blinkdb,,X_Single,Y_auto
blueflood,blueflood,blueflood,Normal,Y_auto
bojack,bojack,,X_Single,Y_auto
boltdb,boltdb,boltdb,Normal,Y_auto
bonsaidb,bonsaidb,,X_Single,Y_auto
brightstardb,brightstardb,brightstardb,Normal,Y_auto
btdb,btdb,,X_Single,Y_auto
btrdb,btrdb,,X_Single,Y_auto
bugfruit,bugfruit,,X_Single,Y_auto
buntdb,buntdb,,X_Single,Y_auto
bustub,bustub,,X_Single,Y_auto
c-store,c-store,,X_Single,Y_auto
cachegrand,cachegrand,,X_Single,Y_auto
calvin,calvin,,X_Single,Y_auto
caskdb,caskdb,,X_Single,Y_auto
cassandra,cassandra,cassandra,Normal,Y_auto
castledb,castledb,,X_Single,Y_auto
cayley,cayley,,X_Single,Y_auto
ceresdb,ceresdb,,X_Single,Y_auto
chaozzdb,chaozzdb,,X_Single,Y_auto
cheetah,cheetah,,X_Single,Y_auto
chronicle-map,chronicle-map,,X_Single,Y_auto
chronix,chronix,,X_Single,Y_auto
citus,citus,citus,Normal,Y_auto
clickhouse,clickhouse,clickhouse,Normal,Y_auto
cloudkit,cloudkit,cloudkit,Normal,Y_auto
cnosdb,cnosdb,cnosdb,Normal,Y_auto
cockroachdb,cockroachdb,cockroachdb,Normal,Y_auto
codernitydb,codernitydb,,X_Single,Y_auto
cogadb,cogadb,,X_Single,Y_auto
cogdb,cogdb,,X_Single,Y_auto
column,column,,X_Single,Y_auto
comdb2,comdb2,comdb2,Normal,Y_auto
compass,compass,,X_Single,Y_auto
composedb,composedb,,X_Single,Y_auto
computedb,computedb,tibco-computedb,Fuzzy,
conceptbasecc,conceptbasecc,,X_Single,Y_auto
concourse,concourse,,X_Single,Y_auto
condensation,condensation,,X_Single,Y_auto
consus,consus,,X_Single,Y_auto
consus-java,consus-java,,X_Single,Y_auto
coreobject,coreobject,,X_Single,Y_auto
couchbase,couchbase,couchbase,Normal,Y_auto
couchdb,couchdb,couchdb,Normal,Y_auto
covenantsql,covenantsql,covenantsql,Normal,Y_auto
cozodb,cozodb,,X_Single,Y_auto
cql,cql,,X_Single,Y_auto
cqlite,cqlite,,X_Single,Y_auto
cratedb,cratedb,cratedb,Normal,Y_auto
csql,csql,,X_Single,Y_auto
cubicweb,cubicweb,cubicweb,Normal,Y_auto
cubrid,cubrid,cubrid,Normal,Y_auto
curiodb,curiodb,,X_Single,Y_auto
dalmatinerdb,dalmatinerdb,,X_Single,Y_auto
databend,databend,databend,Normal,Y_auto
datafusion,datafusion,,X_Single,Y_auto
datahike,datahike,,X_Single,Y_auto
datascript,datascript,,X_Single,Y_auto
db4o,db4o,db4o,Normal,Y_auto
dbreeze,dbreeze,,X_Single,Y_auto
dbx1000,dbx1000,,X_Single,Y_auto
deepdb,deepdb,,X_Single,Y_auto
degdb,degdb,,X_Single,Y_auto
delta-lake,delta-lake,,X_Single,Y_auto
densodb,densodb,,X_Single,Y_auto
derby,derby,derby,Normal,Y_auto
dgraph,dgraph,dgraph,Normal,Y_auto
dolt,dolt,dolt,Normal,Y_auto
doris,doris,apache-doris,Fuzzy,
doxa,doxa,,X_Single,Y_auto
dqlite,dqlite,,X_Single,Y_auto
dragonfly,dragonfly,dragonfly,Normal,Y_auto
dremio,dremio,,X_Single,Y_auto
drill,drill,apache-drill,Fuzzy,
drizzle,drizzle,,X_Single,Y_auto
druid,druid,apache-druid,Fuzzy,
duckdb,duckdb,duckdb,Normal,Y_auto
ductiledb,ductiledb,,X_Single,Y_auto
dynomitedb,dynomitedb,,X_Single,Y_auto
earthstar,earthstar,,X_Single,Y_auto
easedb,easedb,,X_Single,Y_auto
echodb,echodb,,X_Single,Y_auto
edgedb,edgedb,,X_Single,Y_auto
edgelessdb,edgelessdb,edgelessdb,Normal,Y_auto
edis,edis,,X_Single,Y_auto
effiproz,effiproz,,X_Single,Y_auto
ehcache,ehcache,ehcache,Normal,Y_auto
einsteindb,einsteindb,,X_Single,Y_auto
ejdb,ejdb,ejdb,Normal,Y_auto
elara-db,elara-db,,X_Single,Y_auto
elasql,elasql,,X_Single,Y_auto
elasticsearch,elasticsearch,elasticsearch,Normal,Y_auto
elephantdb,elephantdb,,X_Single,Y_auto
elevator,elevator,,X_Single,Y_auto
eliasdb,eliasdb,,X_Single,Y_auto
elliptics,elliptics,elliptics,Normal,Y_auto
embeddinghub,embeddinghub,,X_Single,Y_auto
engula,engula,,X_Single,Y_auto
ennodb,ennodb,,X_Single,Y_auto
etcd,etcd,etcd,Normal,Y_auto
euclidesdb,euclidesdb,,X_Single,Y_auto
eva-db,eva-db,,X_Single,Y_auto
evcache,evcache,,X_Single,Y_auto
event-store,event-store,,X_Single,Y_auto
eventql,eventql,,X_Single,Y_auto
exist-db,exist-db,exist-db,Normal,Y_auto
extensible-storage-engine,extensible-storage-engine,,X_Single,Y_auto
eyedb,eyedb,,X_Single,Y_auto
eyros,eyros,,X_Single,Y_auto
falcon,falcon,,X_Single,Y_auto
fallen-8,fallen-8,,X_Single,Y_auto
fastdb,fastdb,,X_Single,Y_auto
faster,faster,,X_Single,Y_auto
featurebase,featurebase,featurebase,Normal,Y_auto
ferretdb,ferretdb,,X_Single,Y_auto
filedb,filedb,,X_Single,Y_auto
filodb,filodb,,X_Single,Y_auto
finedb,finedb,,X_Single,Y_auto
firebird,firebird,firebird,Normal,Y_auto
flashdb,flashdb,,X_Single,Y_auto
fleetdb,fleetdb,,X_Single,Y_auto
flockdb,flockdb,flockdb,Normal,Y_auto
fluree,fluree,fluree,Normal,Y_auto
fongo,fongo,,X_Single,Y_auto
forestdb,forestdb,,X_Single,Y_auto
foundationdb,foundationdb,foundationdb,Normal,Y_auto
framerd,framerd,,X_Single,Y_auto
frostdb,frostdb,,X_Single,Y_auto
fueldb,fueldb,,X_Single,Y_auto
gadfly,gadfly,,X_Single,Y_auto
gaffer,gaffer,,X_Single,Y_auto
gaia,gaia,,X_Single,Y_auto
genji,genji,,X_Single,Y_auto
geode,geode,geode,Normal,Y_auto
ghostdb,ghostdb,,X_Single,Y_auto
gigabase,gigabase,,X_Single,Y_auto
gnu-sql-server,gnu-sql-server,,X_Single,Y_auto
goods,goods,,X_Single,Y_auto
goshawkdb,goshawkdb,,X_Single,Y_auto
grapheekdb,grapheekdb,,X_Single,Y_auto
graphik,graphik,,X_Single,Y_auto
graviton,graviton,,X_Single,Y_auto
greatsql,greatsql,,X_Single,Y_auto
greenplum,greenplum,greenplum,Normal,Y_auto
greptimedb,greptimedb,greptimedb,Normal,Y_auto
griddb,griddb,griddb,Normal,Y_auto
gridgain,gridgain,gridgain,Normal,Y_auto
gun,gun,,X_Single,Y_auto
h-store,h-store,,X_Single,Y_auto
h2,h2,h2,Normal,Y_auto
haildb,haildb,,X_Single,Y_auto
halodb,halodb,,X_Single,Y_auto
hampusdb,hampusdb,,X_Single,Y_auto
hanoidb,hanoidb,,X_Single,Y_auto
hawq,hawq,apache-hawq,Fuzzy,
hazelcast,hazelcast,hazelcast,Normal,Y_auto
hbase,hbase,hbase,Normal,Y_auto
heavydb,heavydb,,X_Single,Y_auto
herddb,herddb,,X_Single,Y_auto
heroic,heroic,heroic,Normal,Y_auto
hibari,hibari,hibari,Normal,Y_auto
hipsterdb,hipsterdb,,X_Single,Y_auto
histore,histore,,X_Single,Y_auto
hive,hive,hive,Normal,Y_auto
hive-dart,hive-dart,,X_Single,Y_auto
hstreamdb,hstreamdb,,X_Single,Y_auto
hydra,hydra,,X_Single,Y_auto
hyperdex,hyperdex,,X_Single,Y_auto
hypergraphdb,hypergraphdb,hypergraphdb,Normal,Y_auto
hypersql,hypersql,hypersql,Normal,Y_auto
hypertable,hypertable,,X_Single,Y_auto
hyrise,hyrise,,X_Single,Y_auto
icecoal,icecoal,,X_Single,Y_auto
icefiredb,icefiredb,,X_Single,Y_auto
ignite,ignite,ignite,Normal,Y_auto
immortaldb,immortaldb,,X_Single,Y_auto
immudb,immudb,immudb,Normal,Y_auto
impala,impala,impala,Normal,Y_auto
infinidb,infinidb,,X_Single,Y_auto
infinispan,infinispan,infinispan,Normal,Y_auto
infinisql,infinisql,,X_Single,Y_auto
influxdb,influxdb,influxdb,Normal,Y_auto
infogrid,infogrid,,X_Single,Y_auto
ingres,ingres,ingres,Normal,Y_auto
iondb,iondb,,X_Single,Y_auto
iotdb,iotdb,apache-iotdb,Fuzzy,
irmin,irmin,,X_Single,Y_auto
jackrabbit,jackrabbit,jackrabbit,Normal,Y_auto
jaguar,jaguar,,X_Single,Y_auto
janusgraph,janusgraph,janusgraph,Normal,Y_auto
jasdb,jasdb,jasdb,Normal,Y_auto
jena,jena,apache-jena-tdb,Fuzzy,
jindb,jindb,,X_Single,Y_auto
jsdb,jsdb,,X_Single,Y_auto
jsonstoreio,jsonstoreio,,X_Single,Y_auto
jsqldb,jsqldb,,X_Single,Y_auto
juliadb,juliadb,,X_Single,Y_auto
justindb,justindb,,X_Single,Y_auto
kahadb,kahadb,,X_Single,Y_auto
kai,kai,,X_Single,Y_auto
kairosdb,kairosdb,kairosdb,Normal,Y_auto
kareldb,kareldb,,X_Single,Y_auto
