unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
4store,4store,4store,4store,Normal,Y_auto,4store,RDF,C,SPARQL,,,GB,2009,,Open Source,GPL v3#dbdbio>|<dbengines#GPLv3,4store/4store,Y,0.76,242
abhot,abhot,abhot,,X_Never,Y_auto,abhot,,Java,,,,CN,2017,,"Academic,Open Source",Apache v2,quqiangsheng/abhot,Y,,
accumulo,accumulo,Accumulo,Accumulo,Normal,Y_auto,accumulo#dbdbio>|<dbengines#Accumulo,Wide column,Java,"Custom API,Command-line / Shell",Shared-Disk,US National Security Agency,US,2008,,Open Source,Apache v2,apache/accumulo,Y,5.75,75
acedb,acedb,AceDB,,X_Never,Y_auto,acedb,,C,,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source","GPL v2,LGPL v2",richarddurbin/acedb,Y,,
actordb,actordb,ActorDB,ActorDB,Normal,Y_auto,actordb#dbdbio>|<dbengines#ActorDB,Relational,Erlang,"Custom API,SQL",Shared-Nothing,Biokoda,SI,2014,,"Commercial,Open Source",Mozilla Public License#dbdbio>|<dbengines#Mozilla Public License 2.0,biokoda/actordb,Y,0.23,347
aerospike,aerospike,Aerospike,Aerospike,Normal,Y_auto,aerospike#dbdbio>|<dbengines#Aerospike,Key-value#dbdbio>|<dbengines#Document,C,Custom API,Shared-Nothing,"Aerospike, Inc.#dbdbio>|<dbengines#Aerospike",US,2009#dbdbio>|<dbengines#2012,,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,aerospike/aerospike-server,Y,6.56,65
agatedb,agatedb,AgateDB,,X_Never,Y_auto,agatedb,Key-value,Rust,Custom API,Embedded,PingCAP,CN,2019,,"Industrial Research,Open Source",Apache v2,tikv/agatedb,Y,,
agensgraph,agensgraph,AgensGraph,AgensGraph,Normal,Y_auto,agensgraph#dbdbio>|<dbengines#AgensGraph,"Relational,Key-value,Document,Graph#dbdbio>|<dbengines#Graph",C,"SQL,Cypher",Shared-Everything,"Bitnine Co, Ltd.#dbdbio>|<dbengines#Bitnine Global Inc.",US,2013#dbdbio>|<dbengines#2016,2018,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache License 2.0,bitnine-oss/agensgraph,Y,0.07,375
akdb,akdb,AKDB,,X_Never,Y_auto,akdb,Relational,C,SQL,Shared-Everything,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",,AILab-FOI/akdb,Y,,
akumuli,akumuli,Akumuli,,X_Never,Y_auto,akumuli,,C++,Custom API,,,RU,2013,,Open Source,Apache v2,akumuli/Akumuli,Y,,
akutan,akutan,Akutan,,X_Never,Y_auto,akutan,RDF,Go,Custom API,Shared-Nothing,eBay,US,2019,,"Industrial Research,Open Source",Apache v2,eBay/akutan,Y,,
alasql,alasql,AlaSQL,AlaSQL,Normal,Y_auto,alasql#dbdbio>|<dbengines#AlaSQL,"Relational,Document#dbdbio>|<dbengines#Document",JavaScript,SQL,,Andrey Gershun#dbdbio>|<dbengines#Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT#dbdbio>|<dbengines#MIT-License,agershun/alasql#dbdbio>|<dbengines#AlaSQL/alasql,Y,0.71,249
alchemydb,alchemydb,AlchemyDB,,X_Never,Y_auto,alchemydb,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,Y,,
altibase,altibase,Altibase,Altibase,Normal,Y_auto,altibase#dbdbio>|<dbengines#Altibase,Relational,"C,C++",SQL,Shared-Nothing,Altibase Corp.#dbdbio>|<dbengines#Altibase,KR,1999,,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#since February 2018,ALTIBASE/altibase,Y,1.53,172
angstromdb,angstromdb,AngstromDB,,X_Never,Y_auto,angstromdb,Key-value,C,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/AngstromDB,Y,,
antdb,antdb,AntDB,,X_Never,Y_auto,antdb,"Object oriented,Relational",C,SQL,,AsiaInfo,CN,,,"Commercial,Open Source",Apache v2,ADBSQL/AntDB,Y,,
antidote,antidote,Antidote,,X_Never,Y_auto,antidote,Key-value,Erlang,SQL,,SyncFree European Project,FR,2015,,"Academic,Open Source",Apache v2,AntidoteDB/antidote,Y,,
aodbm,aodbm,AODBM,,X_Never,Y_auto,aodbm,,C,,,Daniel Waterworth,GB,2011,2011,Open Source,LGPL v3,DanielWaterworth/AODBM,Y,,
arakoon,arakoon,Arakoon,,X_Never,Y_auto,arakoon,Key-value,Ocaml,Custom API,Shared-Nothing,Incubaid,BE,2010,2015,Open Source,Apache v2,Incubaid/arakoon,Y,,
arangodb,arangodb,ArangoDB,ArangoDB,Normal,Y_auto,arangodb#dbdbio>|<dbengines#ArangoDB,"Key-value,Document,Graph#dbdbio>|<dbengines#Document",C++,"Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,ArangoDB GmbH#dbdbio>|<dbengines#ArangoDB Inc.,DE,2011#dbdbio>|<dbengines#2012,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2; Commercial license (Enterprise) available,arangodb/arangodb,Y,5.29,79
arcadedb,arcadedb,ArcadeDB,ArcadeDB,Normal,Y_auto,arcadedb#dbdbio>|<dbengines#ArcadeDB,"Relational,Key-value,Document,Graph#dbdbio>|<dbengines#Document",Java,"SQL,Cypher,HTTP / REST","Shared-Everything,Embedded",Arcade Data Ltd#dbdbio>|<dbengines#Arcade Data,GB,2021,2021,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,ArcadeData/arcadedb,Y,0.41,294
ardb,ardb,Ardb,,X_Never,Y_auto,ardb,Key-value,C++,Custom API,,Yinqi Wen,CN,2013,,Open Source,BSD,yinqiwen/ardb,Y,,
