DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Jul-2023,Rank_Jul-2023
3store,3store,,X_Single,Y_auto,3store,RDF,C,SPARQL,Shared-Everything,Southampton University,GB,2003,2006,"Academic,Open Source",GPL v2,,Y,,
4store,4store,4store,Normal,Y_auto,4store,RDF,C,SPARQL,,,GB,2009,,Open Source,GPL v3#dbdbio>|<dbengines#GPLv3,4store/4store,Y,0.69,267
abhot,abhot,,X_Single,Y_auto,abhot,,Java,,,,CN,2017,,"Academic,Open Source",Apache v2,quqiangsheng/abhot,Y,,
accumulo,accumulo,accumulo,Normal,Y_auto,Accumulo,Wide column,Java,"Custom API,Command-line / Shell",Shared-Disk,US National Security Agency,US,2008,2022,Open Source,Apache v2,apache/accumulo,Y,4.93,82
acedb,acedb,,X_Single,Y_auto,AceDB,,C,,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source","GPL v2,LGPL v2",richarddurbin/acedb,Y,,
actordb,actordb,actordb,Normal,Y_auto,ActorDB,Relational,Erlang,"Custom API,SQL",Shared-Nothing,Biokoda,SI,2014,,"Commercial,Open Source",Mozilla Public License#dbdbio>|<dbengines#Mozilla Public License 2.0,biokoda/actordb,Y,0.09,387
aerospike,aerospike,aerospike,Normal,Y_auto,Aerospike,Key-value#dbdbio>|<dbengines#Document,C,Custom API,Shared-Nothing,"Aerospike, Inc.#dbdbio>|<dbengines#Aerospike",US,2009#dbdbio>|<dbengines#2012,2022,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,aerospike/aerospike-server,Y,6.48,66
agatedb,agatedb,,X_Single,Y_auto,AgateDB,Key-value,Rust,Custom API,Embedded,PingCAP,CN,2019,,"Industrial Research,Open Source",Apache v2,tikv/agatedb,Y,,
agedb,agedb,,X_Single,Y_auto,AGEDB,Graph,C,"SQL,Cypher",,Apache,CA,2019,,"Commercial,Open Source",Apache v2,apache/age,Y,,
agensgraph,agensgraph,agensgraph,Normal,Y_auto,AgensGraph,"Relational,Key-value,Document,Graph#dbdbio>|<dbengines#Graph",C,"SQL,Cypher",Shared-Everything,"Bitnine Co, Ltd.#dbdbio>|<dbengines#Bitnine Global Inc.",US,2013#dbdbio>|<dbengines#2016,2018,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache License 2.0,bitnine-oss/agensgraph,Y,0.07,392
akdb,akdb,,X_Single,Y_auto,AKDB,Relational,C,SQL,Shared-Everything,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",,AILab-FOI/akdb,Y,,
akumuli,akumuli,,X_Single,Y_auto,Akumuli,,C++,Custom API,,,RU,2013,,Open Source,Apache v2,akumuli/Akumuli,Y,,
akutan,akutan,,X_Single,Y_auto,Akutan,RDF,Go,Custom API,Shared-Nothing,eBay,US,2019,,"Industrial Research,Open Source",Apache v2,eBay/akutan,Y,,
alasql,alasql,alasql,Normal,Y_auto,AlaSQL,"Relational,Document#dbdbio>|<dbengines#Document",JavaScript,SQL,,Andrey Gershun#dbdbio>|<dbengines#Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT#dbdbio>|<dbengines#MIT-License,agershun/alasql#dbdbio>|<dbengines#AlaSQL/alasql,Y,0.72,263
alchemydb,alchemydb,,X_Single,Y_auto,AlchemyDB,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,Y,,
alenka,alenka,,X_Single,Y_auto,Alenka,Relational,C,SQL,,,US,2012,2017,Open Source,Apache v2,antonmks/Alenka,Y,,
altibase,altibase,altibase,Normal,Y_auto,Altibase,Relational,"C,C++",SQL,Shared-Nothing,Altibase Corp.#dbdbio>|<dbengines#Altibase,KR,1999,2021,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#Open source edition discontinued with March 2023,ALTIBASE/altibase,Y#dbdbio>|<dbengines#N,1.53,179
angstromdb,angstromdb,,X_Single,Y_auto,AngstromDB,Key-value,C,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/AngstromDB,Y,,
annadb,annadb,,X_Single,Y_auto,AnnaDB,Document,Rust,Custom API,Shared-Everything,Roman Right,DE,2021,,"Hobby,Open Source",Apache v2,Anna-Team/AnnaDB,Y,,
antdb,antdb,antdb,Normal,Y_auto,AntDB,"Object oriented,Relational#dbdbio>|<dbengines#Relational",C,SQL,,AsiaInfo#dbdbio>|<dbengines#AsiaInfo Technologies Limited,CN,,,"Commercial,Open Source","Apache v2#dbdbio>|<dbengines#community version available at,github.com/ADBSQL/AntDB",ADBSQL/AntDB,Y#dbdbio>|<dbengines#N,0.35,321
antidote,antidote,,X_Single,Y_auto,Antidote,Key-value,Erlang,SQL,,SyncFree European Project,FR,2015,,"Academic,Open Source",Apache v2,AntidoteDB/antidote,Y,,
aodbm,aodbm,,X_Single,Y_auto,AODBM,,C,,,Daniel Waterworth,GB,2011,2011,Open Source,LGPL v3,DanielWaterworth/AODBM,Y,,
arakoon,arakoon,,X_Single,Y_auto,Arakoon,Key-value,Ocaml,Custom API,Shared-Nothing,Incubaid,BE,2010,2015,Open Source,Apache v2,Incubaid/arakoon,Y,,
arangodb,arangodb,arangodb,Normal,Y_auto,ArangoDB,"Key-value,Document,Graph#dbdbio>|<dbengines#Document",C++,"Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,ArangoDB GmbH#dbdbio>|<dbengines#ArangoDB Inc.,DE,2011#dbdbio>|<dbengines#2012,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2; Commercial license (Enterprise) available,arangodb/arangodb,Y,4.57,87
arcadedb,arcadedb,arcadedb,Normal,Y_auto,ArcadeDB,"Relational,Key-value,Document,Graph#dbdbio>|<dbengines#Document",Java,"SQL,Cypher,HTTP / REST","Shared-Everything,Embedded",Arcade Data Ltd#dbdbio>|<dbengines#Arcade Data,GB,2021,2021,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,ArcadeData/arcadedb,Y,0.23,350
arcticdb,arcticdb,,X_Single,Y_auto,ArcticDB,Relational,C++,Custom API,Embedded,Man Group,GB,2018,,Open Source,Business Source License,man-group/ArcticDB,Y,,
ardb,ardb,,X_Single,Y_auto,Ardb,Key-value,C++,Custom API,,Yinqi Wen,CN,2013,,Open Source,BSD,yinqiwen/ardb,Y,,
aresdb,aresdb,,X_Single,Y_auto,AresDB,Relational,"C,C++,Go",Custom API,Shared-Disk,Uber,US,2018,,Open Source,Apache v2,uber/aresdb,Y,,
asami,asami,,X_Single,Y_auto,Asami,Graph,Clojure,Custom API,Shared-Everything,"Cisco, Paula Gearon",US,2018,,"Hobby,Open Source",Eclipse Public License,quoll/asami,Y,,
assassin,assassin,,X_Single,Y_auto,Assassin,Key-value,JavaScript,Custom API,Shared-Nothing,Ender Minyard,US,2020,,Open Source,MIT,genderev/assassin,Y,,
asterixdb,asterixdb,,X_Single,Y_auto,AsterixDB,Document,Java,Custom API,Shared-Nothing,University of California-Irvine and University of California-Riverside,US,2009,,"Academic,Open Source",Apache v2,apache/asterixdb,Y,,
atlas,atlas,,X_Single,Y_auto,Atlas,,Scala,Custom API,,Netflix,US,2014,,Open Source,,Netflix/atlas,Y,,
aviondb,aviondb,,X_Single,Y_auto,AvionDB,Document,JavaScript,Custom API,Shared-Nothing,DappKit,"IN,US",2020,,"Commercial,Open Source",MIT,dappkit/aviondb,Y,,
axion,axion,,X_Single,Y_auto,Axion,Relational,Java,SQL,Embedded,,US,2002,2007,Open Source,,,Y,,
badgerdb,badgerdb,badger,Fuzzy:Normal,Y,BadgerDB#dbdbio>|<dbengines#Badger,Key-value,Go,Custom API,Embedded,Dgraph#dbdbio>|<dbengines#DGraph Labs,US,2017,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,dgraph-io/badger,Y,0.12,381
bagri,bagri,,X_Single,Y_auto,Bagri,Document,Java,,,,RU,2014,,Open Source,Apache v2,dsukhoroslov/bagri,Y,,
baikaldb,baikaldb,,X_Single,Y_auto,BaikalDB,Relational,C++,SQL,Shared-Nothing,Baidu,CN,2018,,Open Source,Apache v2,baidu/BaikalDB,Y,,
bangdb,bangdb,bangdb,Normal,Y_auto,BangDB#dbdbio>|<dbengines#Bangdb,Key-value#dbdbio>|<dbengines#Document,C,,"Shared-Everything,Embedded","IQLECT#dbdbio>|<dbengines#Sachin Sinha, BangDB",IN,2015#dbdbio>|<dbengines#2012,2021,"Commercial,Open Source",BSD#dbdbio>|<dbengines#BSD 3,sachin-sinha/BangDB,Y,0.28,335
