DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Sep-2025,Rank_Sep-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS,DBMS_urnform
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1170.62,1,-,-,Oracle,1980,2023,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1.0,0.0,oracle
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,891.77,2,mysql,mysql-server,Oracle,1995,2024,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,mysql
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,717.32,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,microsoft-sql-server
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,657.17,4,postgres,postgres,PostgreSQL Global Development Group,1989,2024,Y,BSD,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.0,1.0,postgresql
MongoDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,380.5,5,mongodb,mongo,"MongoDB, Inc",2009,2024,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0,mongodb
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,190.19,6,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,snowflake
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,145.17,7,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2024,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1.0,1.0,redis
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,124.19,8,-,-,IBM,1983,2016,N,free version is available,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0,0.0,ibm-db2
Databricks,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Databricks,N,N,-,124.06,9,-,-,Databricks,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,databricks
Elasticsearch,Search Engine,"Search engine,Vector DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,118.26,10,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,1.0,elasticsearch
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,107.88,11,sqlite,sqlite,Dwayne Richard Hipp,2000,2024,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,sqlite
Apache Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Apache+Cassandra,,,,106.98,12,,,Apache Software Foundation,2008,2024,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,apache-cassandra
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,91.46,13,MariaDB,server,MariaDB plc (MariaDB Enterprise Platform and MariaDB),2009,2024,Y,"GPL version 2, commercial enterprise subscription available",N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,mariadb
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,83.61,14,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,microsoft-access
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,80.28,15,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,amazon-dynamodb
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,79.18,16,-,-,Microsoft,2010,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,microsoft-azure-sql-database
Apache Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Hive,,,,76.1,17,,,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,apache-hive
Splunk,Search Engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,75.77,18,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,splunk
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,66.0,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,google-bigquery
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,53.78,20,neo4j,neo4j,"Neo4j, Inc.",2007,2024,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neo4j
Apache Solr,Search Engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Apache+Solr,,,,36.76,21,,,Apache Software Foundation,2006,2024,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,apache-solr
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,34.44,22,-,-,Claris,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,filemaker
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,34.41,23,-,-,Teradata,1984,2019,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0,teradata
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,33.07,24,-,-,SAP,2010,2023,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,sap-hana
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,27.74,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,sap-adaptive-server
Apache Spark (SQL),Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,,,25.36,26,,,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,apache-spark-sql
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,23.94,27,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,microsoft-azure-cosmos-db
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,23.75,28,influxdata,influxdb,,2013,2024,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0.0,influxdb
PostGIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,21.69,29,postgis,postgis,,2005,2024,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,postgis
Apache HBase,Wide column,Wide column store,https://db-engines.com/en/system/Apache+HBase,,,,21.39,30,,,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,apache-hbase
ClickHouse,Relational,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,20.15,31,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2025,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.0,0.0,clickhouse
OpenSearch,Search Engine,"Search engine,Vector DBMS,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,19.93,32,opensearch-project,OpenSearch,The OpenSearch Software Foundation,2021,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,opensearch
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,16.54,33,FirebirdSQL,firebird,Firebird Foundation,2000,2024,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,firebird
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,16.16,34,memcached,memcached,Danga Interactive,2003,2024,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,memcached
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,15.52,35,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0,informix
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,15.4,36,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,firebase-realtime-database
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,15.14,37,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,amazon-redshift
Apache Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Apache+Impala,,,,14.07,38,,,Apache Software Foundation,2013,2022,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,apache-impala
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,13.92,39,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,microsoft-azure-synapse-analytics
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,13.03,40,apache,flink,Apache Software Foundation and contributors,,2024,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,apache-flink
Couchbase,Document,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,12.58,41,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2024,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1.0,0.0,couchbase
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,9.48,42,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0,vertica
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,9.18,43,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,google-cloud-firestore
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,8.7,44,duckdb,duckdb,,2018,2024,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,duckdb
Amazon Aurora,Relational,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Amazon+Aurora,N,,-,8.34,45,-,-,Amazon,2015,2024,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,amazon-aurora
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,8.18,46,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0,kdb
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,7.92,47,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,prometheus
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb-archive,7.47,48,greenplum-db,gpdb-archive,Pivotal Software Inc.,2005,2023,N,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,greenplum
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.44,49,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,etcd
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,7.26,50,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,h2
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,7.08,51,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,netezza
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,6.98,52,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,dbase
Algolia,Search Engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,6.89,53,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,algolia
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,6.82,54,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,realm
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,6.58,55,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1.0,0.0,trino
